Mean CV Accuracy	Test Accuracy	F1 Score	AUC Accuracy	Combination
0.6073469387755102	0.6129032258064516	0.0	0.5263157894736843	filtered_SNP_Data
0.6113469387755102	0.6290322580645161	0.07999999999999999	0.43749999999999994	filtered_CNA_Data
0.7709090909090909	0.6153846153846154	0.6153846153846154	0.675	filtered_mRNA_Data
0.6581642512077295	0.7017543859649122	0.6046511627906976	0.755050505050505	ProcessedClinicalData
0.749090909090909	0.5384615384615384	0.4	0.3	FinalCibersortData
0.6073469387755102	0.6129032258064516	0.0	0.41776315789473684	filtered_SNP_Data + filtered_CNA_Data
0.7509090909090909	0.6923076923076923	0.6666666666666666	0.7142857142857143	filtered_SNP_Data + filtered_mRNA_Data
0.6841545893719807	0.6666666666666666	0.3870967741935483	0.6879795396419437	filtered_SNP_Data + ProcessedClinicalData
0.6727272727272726	0.6923076923076923	0.7142857142857143	0.8095238095238095	filtered_SNP_Data + FinalCibersortData
0.6945454545454546	0.6923076923076923	0.6666666666666666	0.5952380952380952	filtered_CNA_Data + filtered_mRNA_Data
0.683671497584541	0.6491228070175439	0.4736842105263158	0.6719576719576719	filtered_CNA_Data + ProcessedClinicalData
0.6	0.5384615384615384	0.4	0.4761904761904762	filtered_CNA_Data + FinalCibersortData
0.7266666666666668	0.7692307692307693	0.7272727272727272	0.9523809523809524	filtered_mRNA_Data + ProcessedClinicalData
0.7872727272727273	0.6153846153846154	0.6666666666666666	0.725	filtered_mRNA_Data + FinalCibersortData
0.6688888888888889	0.6923076923076923	0.5	0.9047619047619049	ProcessedClinicalData + FinalCibersortData
0.7163636363636363	0.5384615384615384	0.4	0.7142857142857143	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data
0.6974879227053139	0.6666666666666666	0.5128205128205128	0.7544757033248082	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData
0.6363636363636364	0.5384615384615384	0.5714285714285714	0.45238095238095233	filtered_SNP_Data + filtered_CNA_Data + FinalCibersortData
0.7088888888888889	0.6923076923076923	0.6	0.6666666666666666	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData
0.6945454545454546	0.5384615384615384	0.25	0.7380952380952381	filtered_SNP_Data + filtered_mRNA_Data + FinalCibersortData
0.7066666666666668	0.5384615384615384	0.5	0.7142857142857143	filtered_SNP_Data + ProcessedClinicalData + FinalCibersortData
0.6866666666666668	0.8461538461538461	0.8333333333333333	0.85	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.6781818181818181	0.6923076923076923	0.6	0.6904761904761905	filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.6866666666666668	0.8461538461538461	0.8000000000000002	0.8	filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7244444444444446	0.7692307692307693	0.6666666666666666	0.9761904761904763	filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.7511111111111111	0.6923076923076923	0.6666666666666666	0.6904761904761905	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData
0.7127272727272729	0.5384615384615384	0.4	0.5952380952380952	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + FinalCibersortData
0.7288888888888889	0.6153846153846154	0.6153846153846153	0.7619047619047619	filtered_SNP_Data + filtered_CNA_Data + ProcessedClinicalData + FinalCibersortData
0.7466666666666667	0.6923076923076923	0.6	0.8333333333333333	filtered_SNP_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.6666666666666666	0.7692307692307693	0.7272727272727272	0.875	filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
0.8111111111111111	0.6923076923076923	0.6	0.6428571428571429	filtered_SNP_Data + filtered_CNA_Data + filtered_mRNA_Data + ProcessedClinicalData + FinalCibersortData
